@relation LazyClass

@attribute NAD_NMD REAL
@attribute WMC REAL
@attribute class {0,1}

@Data
10.0,50.0,0
3.0,14.0,0
5.0,17.0,0
5.0,15.0,0
11.0,6.0,0
3.0,2.0,0
10.0,6.0,0
9.0,8.0,0
12.0,65.0,0
15.0,24.0,0
3.0,3.0,0
4.0,14.0,0
7.0,17.0,0
17.0,1.0,0
8.0,18.0,0
4.0,217.0,0
4.0,9.0,0
5.0,6.0,0
2.0,2.0,0
2.0,10.0,0
3.0,25.0,0
13.0,14.0,0
12.0,14.0,0
12.0,14.0,0
3.0,6.0,0
6.0,27.0,0
3.0,9.0,0
3.0,5.0,0
7.0,14.0,0
3.0,2.0,0
3.0,4.0,0
5.0,13.0,0
5.0,17.0,0
6.0,14.0,0
5.0,17.0,0
2.0,5.0,0
4.0,10.0,0
2.0,4.0,0
5.0,14.0,0
4.0,13.0,0
2.0,8.0,0
2.0,8.0,0
3.0,3.0,0
2.0,3.0,0
2.0,2.0,0
2.0,4.0,0
3.0,7.0,0
5.0,14.0,0
2.0,5.0,0
2.0,5.0,0
5.0,13.0,0
2.0,4.0,0
2.0,4.0,0
3.0,2.0,0
2.0,3.0,0
2.0,3.0,0
2.0,4.0,0
3.0,2.0,0
2.0,2.0,0
2.0,8.0,0
2.0,2.0,0
2.0,9.0,0
5.0,7.0,0
5.0,7.0,0
4.0,6.0,0
6.0,7.0,0
3.0,3.0,0
3.0,7.0,0
7.0,15.0,0
7.0,15.0,0
7.0,15.0,0
3.0,6.0,0
5.0,17.0,0
2.0,2.0,0
12.0,45.0,0
3.0,4.0,0
3.0,16.0,0
2.0,3.0,0
2.0,5.0,0
2.0,5.0,0
6.0,13.0,0
6.0,13.0,0
2.0,5.0,0
2.0,7.0,0
3.0,2.0,0
5.0,13.0,0
5.0,13.0,0
5.0,14.0,0
5.0,14.0,0
2.0,2.0,0
5.0,14.0,0
5.0,13.0,0
4.0,21.0,0
2.0,8.0,0
3.0,18.0,0
4.0,3.0,0
9.0,13.0,0
5.0,14.0,0
5.0,23.0,0
3.0,3.0,0
4.0,5.0,0
4.0,2.0,0
4.0,5.0,0
4.0,3.0,0
4.0,4.0,0
17.0,44.0,0
10.0,30.0,0
7.0,23.0,0
9.0,30.0,0
6.0,18.0,0
3.0,6.0,0
2.0,6.0,0
3.0,4.0,0
2.0,13.0,0
6.0,21.0,0
5.0,18.0,0
3.0,2.0,0
90.0,12.0,0
7.0,7.0,0
10.0,10.0,0
7.0,5.0,0
7.0,5.0,0
11.0,21.0,0
17.0,31.0,0
7.0,12.0,0
14.0,10.0,0
9.0,15.0,0
13.0,23.0,0
18.0,27.0,0
7.0,9.0,0
31.0,85.0,0
12.0,16.0,0
11.0,20.0,0
6.0,5.0,0
12.0,11.0,0
9.0,7.0,0
33.0,72.0,0
4.0,76.0,0
3.0,2.0,0
13.0,25.0,0
3.0,3.0,0
2.0,3.0,0
2.0,6.0,0
25.0,31.0,0
6.0,7.0,0
32.0,47.0,0
18.0,23.0,0
11.0,18.0,0
31.0,31.0,0
5.0,9.0,0
3.0,3.0,0
1.0,1.0,1
24.0,27.0,0
3.0,3.0,0
67.0,117.0,0
15.0,60.0,0
3.0,3.0,0
6.0,18.0,0
2.0,3.0,0
6.0,6.0,0
25.0,38.0,0
5.0,15.0,0
5.0,9.0,0
1.0,1.0,1
17.0,15.0,0
35.0,72.0,0
13.0,80.0,0
21.0,31.0,0
24.0,35.0,0
4.0,2.0,0
2.0,3.0,0
7.0,28.0,0
25.0,47.0,0
28.0,47.0,0
27.0,46.0,0
30.0,45.0,0
7.0,9.0,0
19.0,25.0,0
5.0,9.0,0
1.0,1.0,1
16.0,20.0,0
12.0,12.0,0
12.0,12.0,0
11.0,12.0,0
11.0,12.0,0
49.0,91.0,0
13.0,35.0,0
31.0,23.0,0
26.0,58.0,0
3.0,3.0,0
2.0,1.0,0
2.0,1.0,0
3.0,3.0,0
66.0,223.0,0
3.0,3.0,0
3.0,3.0,0
10.0,12.0,0
17.0,45.0,0
21.0,41.0,0
12.0,23.0,0
4.0,4.0,0
5.0,9.0,0
15.0,21.0,0
11.0,18.0,0
13.0,30.0,0
11.0,18.0,0
1.0,1.0,1
4.0,3.0,0
3.0,2.0,0
23.0,78.0,0
2.0,3.0,0
6.0,14.0,0
15.0,35.0,0
1.0,1.0,1
19.0,36.0,0
2.0,3.0,0
7.0,7.0,0
4.0,5.0,0
7.0,6.0,0
24.0,39.0,0
1.0,3.0,1
12.0,11.0,0
16.0,26.0,0
24.0,39.0,0
2.0,2.0,0
2.0,6.0,0
18.0,35.0,0
4.0,3.0,0
4.0,8.0,0
7.0,8.0,0
5.0,10.0,0
4.0,8.0,0
11.0,28.0,0
4.0,3.0,0
4.0,3.0,0
21.0,47.0,0
2.0,3.0,0
4.0,4.0,0
4.0,4.0,0
6.0,11.0,0
9.0,17.0,0
4.0,4.0,0
4.0,4.0,0
21.0,18.0,0
24.0,52.0,0
34.0,74.0,0
3.0,3.0,0
21.0,26.0,0
19.0,17.0,0
22.0,22.0,0
21.0,28.0,0
19.0,17.0,0
20.0,18.0,0
3.0,3.0,0
20.0,34.0,0
22.0,33.0,0
5.0,11.0,0
30.0,54.0,0
31.0,91.0,0
21.0,23.0,0
14.0,52.0,0
5.0,9.0,0
1.0,1.0,1
16.0,15.0,0
2.0,3.0,0
5.0,27.0,0
75.0,136.0,0
19.0,112.0,0
3.0,6.0,0
16.0,11.0,0
1.0,1.0,1
13.0,19.0,0
27.0,98.0,0
4.0,10.0,0
41.0,85.0,0
7.0,17.0,0
3.0,7.0,0
1.0,1.0,1
2.0,3.0,0
8.0,50.0,0
1.0,1.0,1
30.0,105.0,0
17.0,60.0,0
16.0,52.0,0
46.0,102.0,0
15.0,17.0,0
25.0,41.0,0
18.0,50.0,0
1.0,1.0,1
3.0,4.0,0
5.0,7.0,0
21.0,52.0,0
8.0,9.0,0
5.0,5.0,0
1.0,1.0,1
40.0,64.0,0
5.0,6.0,0
12.0,33.0,0
5.0,5.0,0
5.0,9.0,0
5.0,2.0,0
1.0,1.0,1
18.0,19.0,0
11.0,12.0,0
12.0,14.0,0
4.0,4.0,0
3.0,3.0,0
11.0,9.0,0
12.0,12.0,0
3.0,3.0,0
14.0,16.0,0
8.0,16.0,0
6.0,8.0,0
7.0,11.0,0
66.0,79.0,0
5.0,11.0,0
5.0,12.0,0
4.0,6.0,0
3.0,4.0,0
4.0,8.0,0
5.0,3.0,0
4.0,4.0,0
4.0,11.0,0
5.0,5.0,0
6.0,6.0,0
6.0,14.0,0
6.0,7.0,0
17.0,16.0,0
19.0,19.0,0
8.0,11.0,0
8.0,26.0,0
4.0,5.0,0
4.0,5.0,0
4.0,5.0,0
4.0,5.0,0
21.0,19.0,0
11.0,11.0,0
4.0,5.0,0
2.0,9.0,0
6.0,16.0,0
2.0,1.0,0
2.0,1.0,0
2.0,2.0,0
1.0,1.0,1
1.0,1.0,1
2.0,3.0,0
13.0,21.0,0
6.0,6.0,0
6.0,8.0,0
1.0,1.0,1
1.0,1.0,1
1.0,1.0,1
4.0,5.0,0
4.0,5.0,0
4.0,5.0,0
4.0,5.0,0
9.0,14.0,0
8.0,5.0,0
8.0,22.0,0
4.0,5.0,0
16.0,31.0,0
2.0,2.0,0
3.0,4.0,0
11.0,11.0,0
12.0,22.0,0
13.0,38.0,0
3.0,3.0,0
25.0,78.0,0
6.0,8.0,0
17.0,23.0,0
20.0,32.0,0
6.0,5.0,0
4.0,5.0,0
7.0,16.0,0
10.0,21.0,0
11.0,10.0,0
11.0,15.0,0
89.0,219.0,0
10.0,11.0,0
15.0,39.0,0
2.0,2.0,0
5.0,4.0,0
14.0,23.0,0
30.0,48.0,0
1.0,1.0,1
2.0,2.0,1
3.0,3.0,0
2.0,2.0,0
2.0,2.0,0
20.0,30.0,0
137.0,293.0,0
7.0,7.0,0
4.0,7.0,0
3.0,3.0,0
8.0,8.0,0
3.0,2.0,0
15.0,27.0,0
14.0,20.0,0
5.0,7.0,0
13.0,35.0,0
13.0,29.0,0
3.0,3.0,0
4.0,3.0,0
6.0,12.0,0
5.0,10.0,0
10.0,17.0,0
7.0,9.0,0
15.0,41.0,0
3.0,3.0,0
2.0,2.0,0
3.0,3.0,0
6.0,23.0,0
2.0,2.0,0
2.0,2.0,0
10.0,18.0,0
2.0,10.0,0
16.0,30.0,0
4.0,7.0,0
1.0,3.0,1
2.0,2.0,0
2.0,2.0,0
4.0,4.0,0
30.0,49.0,0
8.0,14.0,0
19.0,48.0,0
2.0,3.0,0
4.0,6.0,0
6.0,11.0,0
25.0,57.0,0
53.0,86.0,0
7.0,16.0,0
14.0,76.0,0
23.0,51.0,0
15.0,20.0,0
8.0,7.0,0
48.0,150.0,0
5.0,9.0,0
1.0,1.0,1
9.0,10.0,0
13.0,14.0,0
5.0,8.0,0
38.0,74.0,0
2.0,3.0,0
7.0,25.0,0
8.0,52.0,0
7.0,15.0,0
17.0,34.0,0
14.0,12.0,0
17.0,27.0,0
7.0,27.0,0
16.0,146.0,0
8.0,36.0,0
27.0,46.0,0
3.0,23.0,0
32.0,105.0,0
13.0,50.0,0
43.0,157.0,0
8.0,8.0,0
3.0,2.0,0
7.0,7.0,0
19.0,96.0,0
8.0,12.0,0
4.0,4.0,0
3.0,6.0,0
5.0,7.0,0
1.0,1.0,1
8.0,8.0,0
12.0,29.0,0
1.0,1.0,1
81.0,291.0,0
9.0,12.0,0
9.0,24.0,0
7.0,4.0,0
28.0,41.0,0
1.0,1.0,1
1.0,1.0,1
4.0,3.0,0
4.0,5.0,0
1.0,1.0,1
7.0,7.0,0
15.0,48.0,0
91.0,424.0,0
1.0,1.0,1
255.0,1004.0,0
67.0,305.0,0
8.0,14.0,0
6.0,23.0,0
7.0,4.0,0
28.0,62.0,0
1.0,1.0,1
1.0,1.0,1
8.0,30.0,0
16.0,55.0,0
10.0,46.0,0
41.0,185.0,0
16.0,22.0,0
18.0,24.0,0
9.0,14.0,0
5.0,4.0,0
9.0,8.0,0
3.0,2.0,0
6.0,9.0,0
2.0,2.0,0
2.0,3.0,0
3.0,4.0,0
5.0,5.0,0
3.0,2.0,0
8.0,19.0,0
9.0,24.0,0
6.0,20.0,0
5.0,5.0,0
4.0,25.0,0
4.0,13.0,0
4.0,16.0,0
3.0,4.0,0
4.0,4.0,0
3.0,5.0,0
3.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
4.0,4.0,0
2.0,2.0,0
2.0,2.0,0
4.0,12.0,0
4.0,10.0,0
4.0,5.0,0
3.0,29.0,0
10.0,19.0,0
6.0,19.0,0
4.0,3.0,0
4.0,4.0,0
4.0,4.0,0
2.0,6.0,0
9.0,37.0,0
7.0,30.0,0
3.0,4.0,0
8.0,8.0,0
4.0,2.0,0
2.0,2.0,0
3.0,5.0,0
4.0,16.0,0
4.0,7.0,0
4.0,4.0,0
6.0,94.0,0
5.0,17.0,0
28.0,115.0,0
5.0,4.0,0
5.0,4.0,0
5.0,4.0,0
5.0,4.0,0
47.0,118.0,0
5.0,4.0,0
18.0,57.0,0
4.0,8.0,0
2.0,4.0,0
3.0,5.0,0
2.0,1.0,0
9.0,19.0,0
10.0,47.0,0
11.0,18.0,0
19.0,30.0,0
3.0,31.0,0
28.0,148.0,0
16.0,29.0,0
19.0,72.0,0
30.0,57.0,0
26.0,88.0,0
18.0,56.0,0
26.0,155.0,0
12.0,14.0,0
10.0,17.0,0
10.0,24.0,0
19.0,36.0,0
42.0,158.0,0
9.0,33.0,0
5.0,5.0,0
2.0,4.0,0
1.0,1.0,1
6.0,11.0,0
11.0,20.0,0
4.0,4.0,0
9.0,18.0,0
16.0,19.0,0
9.0,11.0,0
3.0,6.0,0
4.0,5.0,0
9.0,30.0,0
8.0,54.0,0
4.0,13.0,0
3.0,3.0,0
38.0,99.0,0
6.0,12.0,0
3.0,3.0,0
30.0,34.0,0
8.0,19.0,0
31.0,57.0,0
23.0,43.0,0
17.0,52.0,0
5.0,5.0,0
4.0,4.0,0
4.0,9.0,0
6.0,12.0,0
10.0,20.0,0
6.0,9.0,0
2.0,5.0,0
3.0,4.0,0
4.0,10.0,0
4.0,10.0,0
5.0,5.0,0
4.0,18.0,0
4.0,8.0,0
7.0,9.0,0
6.0,11.0,0
5.0,33.0,0
2.0,2.0,0
3.0,4.0,0
3.0,3.0,0
2.0,3.0,0
4.0,5.0,0
